City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
175,Saint-Pierre,RE,-21.3393,55.4781,78.8,78,75,2.3,light rain
176,Luena,AO,-11.7833,19.9167,68.31,67,100,2.53,overcast clouds
177,Negara,ID,-8.3151,114.6025,77.05,91,19,2.8,few clouds
178,Broken Hill,AU,-31.95,141.4333,48.2,57,0,6.91,clear sky
179,Aksay,RU,47.26,39.87,46.99,93,75,13.42,broken clouds
180,Naryan-Mar,RU,67.6713,53.087,31.32,81,78,20.51,broken clouds
181,Kutum,SD,14.2,24.6667,79.48,11,9,13.15,clear sky
182,Obihiro,JP,42.9172,143.2044,38.98,68,1,3.11,clear sky
183,Marrakesh,MA,31.6315,-8.0083,80.6,29,40,5.75,scattered clouds
184,Mulege,MX,26.8833,-111.9833,81.23,31,98,4.09,overcast clouds
185,Mwinilunga,ZM,-11.7358,24.4293,67.01,73,90,5.06,overcast clouds
186,Grindavik,IS,63.8424,-22.4338,39.2,87,75,19.57,broken clouds
187,Espanola,US,35.9911,-106.0806,62.01,10,1,6.91,clear sky
188,Guatire,VE,10.4762,-66.5427,79.0,63,92,5.99,overcast clouds
189,Launceston,AU,-41.45,147.1667,46.4,61,90,1.14,overcast clouds
190,Fairbanks,US,64.8378,-147.7164,7.0,51,1,6.91,clear sky
191,Dunedin,NZ,-45.8742,170.5036,55.99,81,8,1.01,clear sky
192,Oranjemund,NA,-28.55,16.4333,64.0,74,8,6.04,clear sky
193,Tuatapere,NZ,-46.1333,167.6833,48.0,97,24,1.99,few clouds
194,Muros,ES,42.7762,-9.0603,59.0,41,6,18.72,clear sky
195,Goderich,CA,43.7501,-81.7165,59.0,77,100,8.05,overcast clouds
196,Sorong,ID,-0.8833,131.25,81.39,76,96,6.24,overcast clouds
197,Te Anau,NZ,-45.4167,167.7167,48.02,94,20,0.98,light rain
198,Terre-De-Bas,GP,15.8501,-61.6442,86.0,48,40,11.5,scattered clouds
199,Yulara,AU,-25.2406,130.9889,62.6,42,21,10.36,few clouds
200,Florianopolis,BR,-27.6146,-48.5012,86.0,58,0,16.11,light rain
201,Nalut,LY,30.3333,10.85,88.14,10,100,13.2,overcast clouds
202,San Luis Rio Colorado,MX,32.4631,-114.7767,84.0,23,1,8.05,clear sky
203,Kysyl-Syr,RU,63.8986,122.7617,-1.82,98,21,5.03,few clouds
204,Nelson Bay,AU,-32.7167,152.15,53.01,62,1,10.36,clear sky
205,Acapulco,MX,16.8634,-99.8901,82.4,69,20,6.91,few clouds
206,Zafra,ES,38.4167,-6.4167,69.8,49,20,11.5,few clouds
207,Iqaluit,CA,63.7506,-68.5145,26.6,86,75,19.57,broken clouds
208,Bizhbulyak,RU,53.6967,54.2642,41.47,89,90,5.77,overcast clouds
209,Hami,CN,42.8,93.45,55.8,30,61,9.71,broken clouds
210,Yerbogachen,RU,61.2767,108.0108,6.22,94,58,3.15,broken clouds
211,Asau,RO,46.4333,26.4,55.4,30,0,10.36,clear sky
212,Khandbari,NP,27.3747,87.2039,67.53,11,39,5.75,scattered clouds
213,Rajpipla,IN,21.8667,73.5,90.86,16,1,9.6,clear sky
214,Clyde River,CA,70.4692,-68.5914,30.2,80,20,26.46,light snow
215,Chudovo,RU,59.1167,31.6833,41.29,60,70,3.33,broken clouds
216,Olinda,BR,-8.0089,-34.8553,78.8,83,75,6.91,broken clouds
217,Teahupoo,PF,-17.8333,-149.2667,77.0,78,40,4.61,scattered clouds
218,Berlevag,NO,70.8578,29.0864,33.8,86,75,33.38,snow
219,Wairoa,NZ,-39.0333,177.3667,57.0,98,9,1.74,clear sky
220,Maksatikha,RU,57.797,35.8825,43.18,90,95,4.52,overcast clouds
221,Carndonagh,IE,55.25,-7.2667,42.8,75,75,6.91,broken clouds
222,Denizli,TR,37.8402,29.0698,46.4,42,75,10.36,broken clouds
223,Manavgat,TR,36.7867,31.4431,59.0,26,20,20.71,few clouds
224,Sao Filipe,CV,14.8961,-24.4956,76.59,61,1,5.01,clear sky
225,Bambous Virieux,MU,-20.3428,57.7575,80.6,78,40,6.91,light rain
226,Flin Flon,CA,54.7682,-101.865,26.6,93,90,9.22,light snow
227,Gambela,ET,8.25,34.5833,90.97,26,100,0.45,overcast clouds
228,Marawi,PH,7.9986,124.2928,75.99,90,63,5.01,broken clouds
229,Scarborough,GB,54.2797,-0.4044,41.0,63,22,3.0,few clouds
230,Hailey,US,43.5196,-114.3153,35.6,38,1,4.61,clear sky
231,Dingle,PH,10.9995,122.6711,76.01,81,49,5.44,scattered clouds
232,Tashtyp,RU,52.7939,89.8983,28.89,83,87,2.93,overcast clouds
233,Mayumba,GA,-3.432,10.6554,82.63,80,63,8.37,broken clouds
234,Ekhabi,RU,53.5102,142.9671,27.91,74,100,12.84,overcast clouds
235,Ylivieska,FI,64.0833,24.55,37.0,78,4,15.01,clear sky
236,Jacarezinho,BR,-23.1606,-49.9694,88.09,30,5,3.85,clear sky
237,Kalmunai,LK,7.4167,81.8167,80.89,75,91,4.03,overcast clouds
238,Moron,AR,-34.6534,-58.6198,68.0,67,92,5.99,overcast clouds
239,Quatre Cocos,MU,-20.2078,57.7625,80.6,78,40,6.91,light rain
240,Jizan,SA,17.3333,42.6667,87.8,70,0,3.44,clear sky
241,Qandala,SO,11.472,49.8728,84.36,52,4,13.15,clear sky
242,The Valley,AI,18.217,-63.0578,82.4,54,20,12.66,few clouds
243,Sabha,LY,27.0377,14.4283,86.54,10,55,15.23,broken clouds
244,Ust-Kuyga,RU,70.0167,135.6,-20.06,97,21,4.12,few clouds
245,Wilmington,US,34.2257,-77.9447,78.01,64,20,11.5,few clouds
246,Boyolangu,ID,-8.1181,111.8935,75.24,91,60,1.34,broken clouds
247,Lewiston,US,44.1003,-70.2148,48.0,76,100,6.91,overcast clouds
248,Liwale,TZ,-9.7667,37.9333,69.64,97,85,4.21,light rain
249,Bushehr,IR,28.9684,50.8385,84.2,45,90,4.61,overcast clouds
250,Mandal,IN,25.45,74.5667,83.25,10,12,4.65,few clouds
251,Taloqan,AF,36.7361,69.5345,63.5,56,0,1.25,clear sky
252,Hofn,IS,64.2539,-15.2082,33.8,93,90,13.8,light snow
253,Seoul,KR,37.5683,126.9778,57.2,58,0,3.44,clear sky
254,Moyale,KE,3.5167,39.0584,69.82,77,87,6.31,overcast clouds
255,Birin,NP,26.8865,88.0718,63.39,9,0,7.11,clear sky
256,San Javier,ES,37.8063,-0.8374,69.01,68,0,11.5,clear sky
257,Araouane,ML,18.9048,-3.5265,103.96,5,1,3.98,clear sky
258,Avarua,CK,-21.2078,-159.775,75.2,100,40,1.14,light rain
259,Faya,SA,18.3851,42.4509,66.2,63,40,10.36,scattered clouds
260,Semey,KZ,50.4111,80.2275,37.22,66,0,9.75,clear sky
261,Agadir,MA,30.4202,-9.5982,73.4,53,0,14.97,clear sky
262,Bandarbeyla,SO,9.4942,50.8122,80.37,68,66,8.72,broken clouds
263,Salekhard,RU,66.53,66.6019,31.73,97,100,12.06,overcast clouds
264,Salalah,OM,17.0151,54.0924,82.4,74,20,6.91,few clouds
265,Powell River,CA,49.8496,-124.5361,43.0,75,20,5.75,few clouds
266,Severo-Kurilsk,RU,50.6789,156.125,27.27,77,36,8.43,scattered clouds
267,Hammerfest,NO,70.6634,23.6821,33.8,80,75,20.71,light snow
268,Bethel,US,41.3712,-73.414,64.0,77,90,8.05,light rain
269,Matara,LK,5.9485,80.5353,79.32,79,57,0.6,broken clouds
270,Yaan,NG,7.3833,8.5667,93.0,40,93,9.33,overcast clouds
271,Huainan,CN,32.6264,116.9969,54.19,97,100,4.85,overcast clouds
272,Rabo De Peixe,PT,37.8,-25.5833,64.4,94,40,10.36,scattered clouds
273,Nova Olimpia,BR,-14.7972,-57.2881,91.47,47,4,4.72,clear sky
274,Tigil,RU,57.8,158.6667,-6.52,100,87,1.66,overcast clouds
275,Evensk,RU,61.95,159.2333,-4.22,77,77,11.25,broken clouds
276,Henties Bay,NA,-22.116,14.2845,78.53,48,2,8.28,clear sky
277,Alofi,NU,-19.0595,-169.9187,68.0,100,13,1.14,few clouds
278,Wrzesnia,PL,52.3251,17.5652,60.01,47,100,11.99,overcast clouds
279,Salta,AR,-24.7859,-65.4117,55.4,88,75,10.36,light intensity drizzle
280,Faanui,PF,-16.4833,-151.75,81.3,76,100,11.36,overcast clouds
281,Kaeo,NZ,-35.1,173.7833,62.01,97,52,1.99,broken clouds
282,Kailua,US,21.4022,-157.7394,69.8,73,40,5.01,scattered clouds
283,Zhezkazgan,KZ,47.8043,67.7144,47.28,57,0,20.54,clear sky
284,Fortuna,US,40.5982,-124.1573,52.0,81,75,5.75,broken clouds
285,Villazon,BO,-22.0866,-65.5942,62.13,44,53,16.4,broken clouds
286,Montepuez,MZ,-13.1256,38.9997,69.82,96,94,5.66,overcast clouds
287,Gopalpur,IN,19.2667,84.9167,79.38,85,8,11.36,clear sky
288,Kaitangata,NZ,-46.2817,169.8464,53.11,96,75,3.94,broken clouds
289,Vanimo,PG,-2.6741,141.3028,78.06,88,99,7.31,overcast clouds
290,Iisalmi,FI,63.5592,27.1907,44.6,31,0,9.22,clear sky
291,Puerto Madryn,AR,-42.7692,-65.0385,70.57,38,21,15.61,few clouds
292,Touros,BR,-5.1989,-35.4608,87.8,62,75,13.8,broken clouds
293,Mahebourg,MU,-20.4081,57.7,80.6,78,40,6.91,light rain
294,Marystown,CA,47.1666,-55.1483,36.55,91,100,11.86,overcast clouds
295,Orbetello,IT,42.4408,11.2196,57.2,100,90,17.27,fog
296,Gimbi,ET,9.1667,35.8333,69.85,27,47,3.74,scattered clouds
297,Estelle,US,29.8458,-90.1067,73.99,56,90,6.91,overcast clouds
298,Carnarvon,AU,-24.8667,113.6333,77.0,100,75,17.27,broken clouds
299,Port Hardy,CA,50.6996,-127.4199,41.0,70,20,9.22,few clouds
300,Akyab,MM,20.15,92.9,80.51,78,8,6.31,clear sky
301,Ridgecrest,US,35.6225,-117.6709,73.0,23,1,1.32,clear sky
302,Borgen,NO,59.8206,10.4257,45.0,52,100,7.0,overcast clouds
303,Dzhebariki-Khaya,RU,62.2167,135.8,12.52,98,100,2.62,overcast clouds
304,Pafos,CY,34.7667,32.4167,57.2,51,20,9.22,few clouds
305,Kruisfontein,ZA,-34.0033,24.7314,66.99,72,100,2.51,overcast clouds
306,Mantua,IT,45.1667,10.7833,51.01,89,100,5.01,overcast clouds
307,Albury,AU,-36.0833,146.9167,43.0,93,7,5.75,clear sky
308,Phalodi,IN,27.1333,72.3667,86.67,7,0,7.7,clear sky
309,Zhigansk,RU,66.7697,123.3711,0.0,96,6,11.18,clear sky
310,Strezhevoy,RU,60.7333,77.5889,41.0,65,0,11.18,light rain
311,Skoghall,SE,59.3232,13.4655,35.6,93,75,9.22,light snow
312,Alyangula,AU,-13.8483,136.4192,71.6,100,84,6.35,broken clouds
313,Klaksvik,FO,62.2266,-6.589,37.4,75,89,1.14,overcast clouds
