City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
381,Kisangani,CD,77.0,scattered clouds,0.5167,25.2,Grand Ramela Hotel
382,Anori,BR,88.5,overcast clouds,-3.7728,-61.6442,Novo Hotel 05 Irmaos
383,Port Hedland,AU,80.6,broken clouds,-20.3167,118.5667,The Esplanade Hotel
384,Maumere,ID,78.6,broken clouds,-8.6199,122.2111,Sylvia Hotel
385,Qinzhou,CN,74.77,light rain,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
387,Amahai,ID,77.77,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
388,Ilhabela,BR,81.99,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
391,Bengkulu,ID,76.17,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
394,Namatanai,PG,76.12,light rain,-3.6667,152.4333,Namatanai Hotel
395,Dakar,SN,75.2,clear sky,14.6937,-17.4441,Redface Studios Meublés
401,Souillac,MU,80.6,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
402,Cabo San Lucas,MX,75.0,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
403,San Patricio,US,80.01,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
407,Miraflores,MX,73.4,clear sky,19.2167,-98.8083,Hotel Mansión
408,Tocopilla,CL,71.65,clear sky,-22.092,-70.1979,Hotel Galvarino
409,Valvedditturai,LK,82.89,clear sky,9.8167,80.1667,Kanahathy Vadali
415,Iracoubo,GF,77.34,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
424,Mbandaka,CD,73.47,scattered clouds,0.0487,18.2603,Guest House Epervier
427,Saint-Georges,GD,86.0,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
428,Antofagasta,CL,71.01,clear sky,-23.65,-70.4,Holiday Inn Express Antofagasta
430,Balkanabat,TM,78.31,broken clouds,39.5108,54.3671,Nebitchi Hotel
435,Sur,OM,83.19,clear sky,22.5667,59.5289,Sur Plaza Hotel
438,Sabang,ID,84.13,clear sky,5.8933,95.3214,Hotel Citra
441,Richards Bay,ZA,72.48,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
446,Port Blair,IN,82.44,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
448,Manado,ID,77.0,scattered clouds,1.4869999999999999,124.8455,Aryaduta Hotel
451,Khipro,PK,89.13,clear sky,25.8285,69.3772,Raja Hotel
453,Grand Gaube,MU,79.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
454,Sao Joao Da Barra,BR,86.0,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
457,San Cristobal,VE,87.8,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
460,Ternate,ID,81.0,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
463,Dalbandin,PK,81.95,scattered clouds,28.8947,64.4101,Sanjrani House
465,Veraval,IN,80.56,clear sky,20.9,70.3667,Lords Inn Somnath
467,Itarema,BR,85.46,moderate rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
471,Nagapattinam,IN,83.19,clear sky,10.7667,79.8333,Sathya Lodge
472,Mahibadhoo,MV,83.37,broken clouds,3.7833,72.9667,Omadhoo Inn
475,Sibolga,ID,76.89,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
483,Ponce,PR,80.01,scattered clouds,18.073,-66.6185,Villa Del Paraíso
492,Rio Grande,BR,79.0,moderate rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
494,Timberlake,US,71.01,scattered clouds,37.3207,-79.2575,Timberlake Motel
501,Sadao,TH,80.6,few clouds,6.6388,100.4234,Banana Resort Sadao
502,Camacari,BR,82.4,broken clouds,-12.6975,-38.3242,Hotel Cambuci
507,Macapa,BR,89.6,broken clouds,0.0389,-51.0664,Atalanta Hotel
511,Hattiesburg,US,70.0,clear sky,31.3271,-89.2903,Deluxe Inn
515,Kikwit,CD,72.46,light rain,-5.041,18.8162,Guest L'Amour
519,Lae,PG,75.47,overcast clouds,-6.7221,146.9847,Phils Hotel
521,Porto Novo,BJ,87.8,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
525,Braganca,BR,84.24,overcast clouds,-1.0536,-46.7656,Marujo's Suíte Hotel
526,Funadhoo,MV,83.84,scattered clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
529,Elizabeth City,US,75.0,scattered clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
530,Manggar,ID,80.47,overcast clouds,-2.8833,108.2667,Guest Hotel
532,Tura,IN,79.25,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
533,Holly Springs,US,79.0,scattered clouds,35.6513,-78.8336,Hampton Inn & Suites Holly Springs
534,Gouyave,GD,86.0,scattered clouds,12.1646,-61.7296,Rumboat Retreat
538,Rodrigues Alves,BR,82.4,broken clouds,-7.7379999999999995,-72.6509,Pousada Aconchego
539,Nuevo Progreso,MX,84.0,few clouds,23.1667,-97.95,Balneario Rio el Paraiso
545,Omboue,GA,77.34,overcast clouds,-1.5746,9.2618,Hotel Olako
549,Bima,ID,75.38,few clouds,-8.4667,118.7167,Lambitu Hotel
